C1, 10.58, 44.41, 180.00, 0.10 nF, C0603
C2, 12.23, 14.86, 180.00, 0.10 nF, C0603
LED0, 12.20, 48.24, 0.00, WS2812B5050, WS2812B
LED1, 12.20, 10.06, 0.00, WS2812B5050, WS2812B
MUX, 12.21, 35.29, 180.00, 4051D, SO16
P0, 12.07, 3.44, 0.00, , TCRT5000
P1, -6.11, 10.85, 45.00, , TCRT5000
P2, -14.14, 29.52, 90.00, , TCRT5000
P3, 30.54, 10.99, 315.00, , TCRT5000
P4, -6.33, 48.14, 135.00, , TCRT5000
P5, 38.29, 29.39, 270.00, , TCRT5000
P6, 12.13, 55.67, 180.00, , TCRT5000
P7, 30.42, 48.24, 225.00, , TCRT5000
R0, 17.56, 54.70, 270.00, 4k7, M0805
R1, 29.28, 47.11, 315.00, 4k7, M0805
R2, 36.73, 29.57, 0.00, 4k7, M0805
R3, 29.52, 12.13, 45.00, 4k7, M0805
R4, 12.22, 4.78, 90.00, 4k7, M0805
R5, -5.09, 11.82, 135.00, 4k7, M0805
R6, -12.52, 29.46, 180.00, 4k7, M0805
R7, -5.31, 46.93, 225.00, 4k7, M0805
